ID_Transacao,Data_Venda,ID_Cliente,Nome_Produto,Categoria_Produto,Valor_Unitario,Quantidade,Ano,Mes,Dia,Dia_da_Semana,Trimestre,Ano_Mes,Valor_Total
TXN000059,2024-10-28,6947,Tênis De Corrida,Esportes,51.01,5,2024,10,28,Monday,4,2024-10,255.05
TXN000061,2023-09-07,7930,Mochila,Esportes,248.49,4,2023,9,7,Thursday,3,2023-09,993.96
TXN000062,2023-11-29,7543,Cama,Casa e Cozinha,224.37,3,2023,11,29,Wednesday,4,2023-11,673.11
TXN000063,2023-12-15,2290,Corda De Pular,Esportes,501.52,5,2023,12,15,Friday,4,2023-12,2507.60
TXN000064,2023-07-15,2291,Boné,Roupas,191.24,2,2023,7,15,Saturday,3,2023-07,382.48
TXN000065,2024-12-08,1958,Cafeteira,Casa e Cozinha,231.94,1,2024,12,8,Sunday,4,2024-12,231.94
TXN000066,2023-10-29,9797,Cama,Casa e Cozinha,438.73,5,2023,10,29,Sunday,4,2023-10,2193.65
TXN000067,2024-01-13,4566,Garrafa Térmica,Esportes,106.03,5,2024,1,13,Saturday,1,2024-01,530.15
TXN000068,2023-12-05,9423,Toalha,Casa e Cozinha,643.74,2,2023,12,5,Tuesday,4,2023-12,1287.48
TXN000069,2023-05-04,9085,Romance,Livros,25.06,2,2023,5,4,Thursday,2,2023-05,50.12
TXN000070,2023-07-16,5119,Toalha,Casa e Cozinha,789.64,5,2023,7,16,Sunday,3,2023-07,3948.20
TXN000071,2024-09-03,2403,Tablet,Eletrônicos,1555.88,3,2024,9,3,Tuesday,3,2024-09,4667.64
TXN000072,2023-07-03,7932,Carregador,Eletrônicos,437.50,1,2023,7,3,Monday,3,2023-07,437.50
TXN000073,2024-07-20,3103,Casaco,Roupas,22.65,1,2024,7,20,Saturday,3,2024-07,22.65
TXN000074,2024-08-10,8962,Cafeteira,Casa e Cozinha,654.21,2,2024,8,10,Saturday,3,2024-08,1308.42
TXN000075,2023-02-22,7126,Jogo De Panelas,Casa e Cozinha,568.42,4,2023,2,22,Wednesday,1,2023-02,2273.68
TXN000076,2024-05-18,5333,Bola De Futebol,Esportes,444.18,5,2024,5,18,Saturday,2,2024-05,2220.90
TXN000077,2023-11-08,2291,Calça Jeans,Roupas,390.21,4,2023,11,8,Wednesday,4,2023-11,1560.84
TXN000078,2024-09-12,6573,Mochila,Esportes,67.58,4,2024,9,12,Thursday,3,2024-09,270.32
TXN000079,2023-11-01,9856,Ficção Científica,Livros,63.39,1,2023,11,1,Wednesday,4,2023-11,63.39
TXN000080,2023-08-01,8668,Romance,Livros,30.64,2,2023,8,1,Tuesday,3,2023-08,61.28
TXN000081,2024-07-19,1711,Camiseta,Roupas,434.29,5,2024,7,19,Friday,3,2024-07,2171.45
TXN000082,2024-04-26,3103,Tablet,Eletrônicos,1265.43,3,2024,4,26,Friday,2,2024-04,3796.29
TXN000083,2024-12-20,1035,Tablet,Eletrônicos,695.25,5,2024,12,20,Friday,4,2024-12,3476.25
TXN000085,2023-09-30,6313,Smartphone,Eletrônicos,656.42,3,2023,9,30,Saturday,3,2023-09,1969.26
TXN000086,2024-09-01,5669,Aventura,Livros,58.90,3,2024,9,1,Sunday,3,2024-09,176.70
TXN000087,2024-12-17,4139,Aventura,Livros,81.38,5,2024,12,17,Tuesday,4,2024-12,406.90
TXN000088,2023-02-10,2528,Data Science,Livros,101.07,2,2023,2,10,Friday,1,2023-02,202.14
TXN000089,2024-11-21,9900,Bola De Futebol,Esportes,535.15,3,2024,11,21,Thursday,4,2024-11,1605.45
TXN000090,2024-08-13,4611,Casaco,Roupas,246.66,4,2024,8,13,Tuesday,3,2024-08,986.64
TXN000091,2023-10-12,8019,Mochila,Esportes,93.77,4,2023,10,12,Thursday,4,2023-10,375.08
TXN000092,2023-04-04,4111,Biografia,Livros,111.29,1,2023,4,4,Tuesday,2,2023-04,111.29
TXN000093,2023-06-14,6539,Cafeteira,Casa e Cozinha,611.02,4,2023,6,14,Wednesday,2,2023-06,2444.08
TXN000094,2024-07-17,9928,Jogo De Panelas,Casa e Cozinha,453.41,3,2024,7,17,Wednesday,3,2024-07,1360.23
TXN000095,2023-04-29,4139,Bola De Futebol,Esportes,468.31,5,2023,4,29,Saturday,2,2023-04,2341.55
TXN000096,2024-04-18,4006,Tablet,Eletrônicos,1012.90,5,2024,4,18,Thursday,2,2024-04,5064.50
TXN000097,2024-05-25,8886,Tablet,Eletrônicos,1069.33,2,2024,5,25,Saturday,2,2024-05,2138.66
TXN000098,2023-10-22,7658,Jogo De Panelas,Casa e Cozinha,347.76,5,2023,10,22,Sunday,4,2023-10,1738.80
TXN000099,2023-09-03,6155,Ficção Científica,Livros,18.43,1,2023,9,3,Sunday,3,2023-09,18.43
TXN000100,2023-08-19,3664,Jogo De Panelas,Casa e Cozinha,95.23,2,2023,8,19,Saturday,3,2023-08,190.46
TXN000101,2024-05-25,3103,Corda De Pular,Esportes,43.07,4,2024,5,25,Saturday,2,2024-05,172.28
TXN000102,2024-04-28,3927,Talheres,Casa e Cozinha,512.76,5,2024,4,28,Sunday,2,2024-04,2563.80
TXN000103,2024-06-04,7216,Smartwatch,Eletrônicos,662.99,4,2024,6,4,Tuesday,2,2024-06,2651.96
TXN000104,2023-12-15,4853,Ficção Científica,Livros,83.66,3,2023,12,15,Friday,4,2023-12,250.98
TXN000105,2024-08-24,9666,Talheres,Casa e Cozinha,726.98,4,2024,8,24,Saturday,3,2024-08,2907.92
TXN000106,2023-12-20,4770,Mochila,Esportes,168.34,3,2023,12,20,Wednesday,4,2023-12,505.02
TXN000107,2023-07-13,5315,Mochila,Esportes,260.97,4,2023,7,13,Thursday,3,2023-07,1043.88
TXN000108,2023-02-14,9479,Abajur,Casa e Cozinha,606.89,2,2023,2,14,Tuesday,1,2023-02,1213.78
TXN000109,2024-05-22,9928,Tênis,Roupas,129.82,4,2024,5,22,Wednesday,2,2024-05,519.28
TXN000110,2023-04-13,4346,Liquidificador,Casa e Cozinha,70.81,4,2023,4,13,Thursday,2,2023-04,283.24
TXN000111,2024-11-01,2084,Teclado,Eletrônicos,615.02,3,2024,11,1,Friday,4,2024-11,1845.06
TXN000112,2023-12-13,6559,Caixa De Som,Eletrônicos,364.38,5,2023,12,13,Wednesday,4,2023-12,1821.90
TXN000113,2024-01-25,9479,Liquidificador,Casa e Cozinha,744.46,2,2024,1,25,Thursday,1,2024-01,1488.92
TXN000114,2024-10-08,9727,Calça Jeans,Roupas,407.90,1,2024,10,8,Tuesday,4,2024-10,407.90
TXN000115,2024-10-10,2307,Talheres,Casa e Cozinha,510.39,1,2024,10,10,Thursday,4,2024-10,510.39
TXN000116,2023-02-17,4681,Smartwatch,Eletrônicos,1749.35,4,2023,2,17,Friday,1,2023-02,6997.40
TXN000117,2023-05-30,9317,Mochila,Esportes,487.11,2,2023,5,30,Tuesday,2,2023-05,974.22
TXN000118,2023-06-24,5040,Mouse,Eletrônicos,413.81,2,2023,6,24,Saturday,2,2023-06,827.62
TXN000119,2024-05-24,5905,Vestido,Roupas,448.43,3,2024,5,24,Friday,2,2024-05,1345.29
TXN000120,2024-04-15,3646,Teclado,Eletrônicos,1101.72,5,2024,4,15,Monday,2,2024-04,5508.60
TXN000121,2023-06-11,5333,Cortina,Casa e Cozinha,647.88,3,2023,6,11,Sunday,2,2023-06,1943.64
TXN000122,2024-10-16,2604,Aventura,Livros,135.97,2,2024,10,16,Wednesday,4,2024-10,271.94
TXN000123,2024-01-29,1936,Tablet,Eletrônicos,670.11,3,2024,1,29,Monday,1,2024-01,2010.33
TXN000124,2024-08-11,3705,Ficção Científica,Livros,29.86,4,2024,8,11,Sunday,3,2024-08,119.44
TXN000125,2023-10-09,4657,Bola De Futebol,Esportes,156.06,4,2023,10,9,Monday,4,2023-10,624.24
TXN000126,2023-10-21,5808,Garrafa Térmica,Esportes,270.59,2,2023,10,21,Saturday,4,2023-10,541.18
TXN000127,2024-09-27,4258,Calça Jeans,Roupas,412.65,1,2024,9,27,Friday,3,2024-09,412.65
TXN000128,2023-11-13,8956,Caixa De Som,Eletrônicos,1728.42,1,2023,11,13,Monday,4,2023-11,1728.42
TXN000129,2023-10-30,2049,Talheres,Casa e Cozinha,15.49,5,2023,10,30,Monday,4,2023-10,77.45
TXN000130,2024-01-10,4910,Corda De Pular,Esportes,318.68,3,2024,1,10,Wednesday,1,2024-01,956.04
TXN000131,2024-05-08,3705,Romance,Livros,71.35,1,2024,5,8,Wednesday,2,2024-05,71.35
TXN000132,2023-05-25,6573,Cortina,Casa e Cozinha,185.47,4,2023,5,25,Thursday,2,2023-05,741.88
TXN000133,2023-01-15,9005,Luva De Boxe,Esportes,93.92,3,2023,1,15,Sunday,1,2023-01,281.76
TXN000134,2024-08-21,6804,Romance,Livros,60.58,4,2024,8,21,Wednesday,3,2024-08,242.32
TXN000135,2023-01-26,6718,Programação Em Python,Livros,142.29,4,2023,1,26,Thursday,1,2023-01,569.16
TXN000136,2024-12-18,7932,Jogo De Panelas,Casa e Cozinha,265.33,1,2024,12,18,Wednesday,4,2024-12,265.33
TXN000137,2023-11-08,3579,Fone De Ouvido,Eletrônicos,1061.64,5,2023,11,8,Wednesday,4,2023-11,5308.20
TXN000138,2023-05-19,8651,Cortina,Casa e Cozinha,565.38,5,2023,5,19,Friday,2,2023-05,2826.90
TXN000139,2024-03-05,2084,Jogo De Panelas,Casa e Cozinha,297.27,5,2024,3,5,Tuesday,1,2024-03,1486.35
TXN000140,2024-02-22,2290,Caixa De Som,Eletrônicos,1944.98,4,2024,2,22,Thursday,1,2024-02,7779.92
TXN000141,2023-08-30,9834,Caixa De Som,Eletrônicos,1926.77,3,2023,8,30,Wednesday,3,2023-08,5780.31
TXN000142,2023-03-04,6559,Programação Em Python,Livros,48.99,4,2023,3,4,Saturday,1,2023-03,195.96
TXN000143,2023-04-04,8668,Bola De Futebol,Esportes,310.92,3,2023,4,4,Tuesday,2,2023-04,932.76
TXN000144,2023-09-07,3803,Halter,Esportes,198.01,5,2023,9,7,Thursday,3,2023-09,990.05
TXN000145,2023-08-01,5119,Tênis,Roupas,156.72,5,2023,8,1,Tuesday,3,2023-08,783.60
TXN000146,2023-01-03,1949,Jaqueta,Roupas,37.71,2,2023,1,3,Tuesday,1,2023-01,75.42
TXN000147,2023-04-23,4582,Camiseta,Roupas,312.59,2,2023,4,23,Sunday,2,2023-04,625.18
TXN000148,2024-08-25,5061,Carregador,Eletrônicos,1030.22,2,2024,8,25,Sunday,3,2024-08,2060.44
TXN000149,2024-03-07,4346,Fone De Ouvido,Eletrônicos,150.38,3,2024,3,7,Thursday,1,2024-03,451.14
TXN000150,2024-06-09,5554,Cama,Casa e Cozinha,230.13,1,2024,6,9,Sunday,2,2024-06,230.13
TXN000151,2024-11-05,9565,Aventura,Livros,137.62,1,2024,11,5,Tuesday,4,2024-11,137.62
TXN000152,2023-03-04,1998,Abajur,Casa e Cozinha,199.25,4,2023,3,4,Saturday,1,2023-03,797.00
TXN000153,2024-12-30,4502,Fone De Ouvido,Eletrônicos,332.55,2,2024,12,30,Monday,4,2024-12,665.10
TXN000154,2023-03-09,3803,História,Livros,81.08,5,2023,3,9,Thursday,1,2023-03,405.40
TXN000155,2024-06-27,8787,Abajur,Casa e Cozinha,788.66,1,2024,6,27,Thursday,2,2024-06,788.66
TXN000156,2024-11-01,2200,Boné,Roupas,136.19,2,2024,11,1,Friday,4,2024-11,272.38
TXN000157,2024-02-28,2163,Abajur,Casa e Cozinha,540.99,1,2024,2,28,Wednesday,1,2024-02,540.99
TXN000158,2023-11-17,1828,Data Science,Livros,117.82,2,2023,11,17,Friday,4,2023-11,235.64
TXN000159,2024-12-04,4566,Fone De Ouvido,Eletrônicos,513.39,1,2024,12,4,Wednesday,4,2024-12,513.39
TXN000160,2024-03-18,4733,Autoajuda,Livros,113.31,5,2024,3,18,Monday,1,2024-03,566.55
TXN000161,2024-07-29,6718,Romance,Livros,64.65,4,2024,7,29,Monday,3,2024-07,258.60
TXN000162,2023-02-22,9727,Corda De Pular,Esportes,388.58,5,2023,2,22,Wednesday,1,2023-02,1942.90
TXN000163,2024-06-03,8668,Casaco,Roupas,324.09,1,2024,6,3,Monday,2,2024-06,324.09
TXN000164,2023-12-25,4492,Romance,Livros,87.33,5,2023,12,25,Monday,4,2023-12,436.65
TXN000165,2023-08-20,9856,Bola De Futebol,Esportes,76.92,3,2023,8,20,Sunday,3,2023-08,230.76
TXN000166,2023-01-30,8019,Data Science,Livros,127.77,3,2023,1,30,Monday,1,2023-01,383.31
TXN000167,2023-01-07,8019,Boné,Roupas,173.97,1,2023,1,7,Saturday,1,2023-01,173.97
TXN000168,2023-04-04,4910,Boné,Roupas,109.53,3,2023,4,4,Tuesday,2,2023-04,328.59
TXN000169,2023-06-11,8749,História,Livros,20.50,5,2023,6,11,Sunday,2,2023-06,102.50
TXN000170,2024-09-02,2291,Carregador,Eletrônicos,1202.24,5,2024,9,2,Monday,3,2024-09,6011.20
TXN000171,2023-02-20,3045,Aventura,Livros,106.47,4,2023,2,20,Monday,1,2023-02,425.88
TXN000172,2024-09-13,8886,Toalha,Casa e Cozinha,23.10,5,2024,9,13,Friday,3,2024-09,115.50
TXN000173,2023-04-27,2104,Jogo De Panelas,Casa e Cozinha,414.55,5,2023,4,27,Thursday,2,2023-04,2072.75
TXN000174,2024-05-13,4346,Ficção Científica,Livros,45.58,5,2024,5,13,Monday,2,2024-05,227.90
TXN000175,2023-02-26,5012,Meias,Roupas,329.68,2,2023,2,26,Sunday,1,2023-02,659.36
TXN000176,2023-09-19,3060,Romance,Livros,38.54,1,2023,9,19,Tuesday,3,2023-09,38.54
TXN000177,2024-03-16,5040,Boné,Roupas,351.65,2,2024,3,16,Saturday,1,2024-03,703.30
TXN000178,2024-05-27,3170,Romance,Livros,67.21,1,2024,5,27,Monday,2,2024-05,67.21
TXN000179,2024-03-22,7912,Jogo De Panelas,Casa e Cozinha,750.02,5,2024,3,22,Friday,1,2024-03,3750.10
TXN000180,2024-03-15,8179,Abajur,Casa e Cozinha,118.64,4,2024,3,15,Friday,1,2024-03,474.56
TXN000181,2023-01-22,4681,Casaco,Roupas,183.71,3,2023,1,22,Sunday,1,2023-01,551.13
TXN000182,2023-04-01,3724,Tablet,Eletrônicos,271.27,4,2023,4,1,Saturday,2,2023-04,1085.08
TXN000183,2024-06-20,9785,Toalha,Casa e Cozinha,740.51,2,2024,6,20,Thursday,2,2024-06,1481.02
TXN000184,2023-12-08,3340,Fone De Ouvido,Eletrônicos,1760.81,2,2023,12,8,Friday,4,2023-12,3521.62
TXN000185,2023-12-24,2160,Vestido,Roupas,143.81,3,2023,12,24,Sunday,4,2023-12,431.43
TXN000187,2023-07-01,3579,Cafeteira,Casa e Cozinha,655.61,5,2023,7,1,Saturday,3,2023-07,3278.05
TXN000188,2024-10-20,5061,Autoajuda,Livros,89.95,4,2024,10,20,Sunday,4,2024-10,359.80
TXN000189,2024-03-28,4470,Ficção Científica,Livros,86.50,1,2024,3,28,Thursday,1,2024-03,86.50
TXN000190,2023-11-14,5673,Liquidificador,Casa e Cozinha,201.06,3,2023,11,14,Tuesday,4,2023-11,603.18
TXN000191,2023-03-20,4150,Mochila,Esportes,78.53,5,2023,3,20,Monday,1,2023-03,392.65
TXN000192,2023-02-12,3697,Halter,Esportes,540.90,4,2023,2,12,Sunday,1,2023-02,2163.60
TXN000193,2024-05-28,7572,Teclado,Eletrônicos,1805.82,3,2024,5,28,Tuesday,2,2024-05,5417.46
TXN000194,2023-03-28,2113,Camiseta,Roupas,323.89,4,2023,3,28,Tuesday,1,2023-03,1295.56
TXN000195,2024-03-25,5272,Tapete De Yoga,Esportes,219.94,3,2024,3,25,Monday,1,2024-03,659.82
TXN000196,2024-02-01,8350,Ficção Científica,Livros,62.14,3,2024,2,1,Thursday,1,2024-02,186.42
TXN000197,2023-03-09,6539,Mouse,Eletrônicos,1002.52,5,2023,3,9,Thursday,1,2023-03,5012.60
TXN000198,2023-06-03,4770,Carregador,Eletrônicos,1799.37,3,2023,6,3,Saturday,2,2023-06,5398.11
TXN000199,2024-11-02,2612,Calça Jeans,Roupas,445.80,4,2024,11,2,Saturday,4,2024-11,1783.20
TXN000200,2024-10-20,6539,Calça Jeans,Roupas,394.34,4,2024,10,20,Sunday,4,2024-10,1577.36
TXN000201,2024-06-04,9834,Caixa De Som,Eletrônicos,1301.96,2,2024,6,4,Tuesday,2,2024-06,2603.92
TXN000202,2023-12-16,1821,Vestido,Roupas,60.39,2,2023,12,16,Saturday,4,2023-12,120.78
TXN000203,2023-03-21,3705,Smartphone,Eletrônicos,365.18,5,2023,3,21,Tuesday,1,2023-03,1825.90
TXN000204,2023-05-15,2545,Jaqueta,Roupas,451.31,5,2023,5,15,Monday,2,2023-05,2256.55
TXN000205,2023-06-19,7658,Mouse,Eletrônicos,1232.54,2,2023,6,19,Monday,2,2023-06,2465.08
TXN000206,2024-03-30,8962,Cama,Casa e Cozinha,17.27,3,2024,3,30,Saturday,1,2024-03,51.81
TXN000207,2024-04-25,2489,Aventura,Livros,28.70,3,2024,4,25,Thursday,2,2024-04,86.10
TXN000208,2024-01-27,2122,Mochila,Esportes,406.51,2,2024,1,27,Saturday,1,2024-01,813.02
TXN000209,2024-09-11,5422,Ficção Científica,Livros,15.68,3,2024,9,11,Wednesday,3,2024-09,47.04
TXN000210,2024-07-21,4814,Luva De Boxe,Esportes,117.46,2,2024,7,21,Sunday,3,2024-07,234.92
TXN000211,2023-10-07,3697,Tapete De Yoga,Esportes,340.52,1,2023,10,7,Saturday,4,2023-10,340.52
TXN000212,2023-08-16,3697,Ficção Científica,Livros,108.41,4,2023,8,16,Wednesday,3,2023-08,433.64
TXN000213,2024-05-29,4119,Boné,Roupas,332.94,3,2024,5,29,Wednesday,2,2024-05,998.82
TXN000214,2023-08-18,4811,Romance,Livros,45.28,3,2023,8,18,Friday,3,2023-08,135.84
TXN000215,2023-05-30,5422,Smartwatch,Eletrônicos,1438.75,4,2023,5,30,Tuesday,2,2023-05,5755.00
TXN000216,2024-12-13,4598,Cafeteira,Casa e Cozinha,197.43,1,2024,12,13,Friday,4,2024-12,197.43
TXN000217,2023-01-20,9837,Jaqueta,Roupas,176.19,5,2023,1,20,Friday,1,2023-01,880.95
TXN000218,2024-06-24,8260,Smartwatch,Eletrônicos,1505.66,1,2024,6,24,Monday,2,2024-06,1505.66
TXN000219,2023-02-18,5315,Cafeteira,Casa e Cozinha,523.21,4,2023,2,18,Saturday,1,2023-02,2092.84
TXN000220,2024-09-03,3144,Tablet,Eletrônicos,1705.99,3,2024,9,3,Tuesday,3,2024-09,5117.97
TXN000221,2024-03-15,2824,Garrafa Térmica,Esportes,403.13,4,2024,3,15,Friday,1,2024-03,1612.52
TXN000222,2023-07-11,2291,Garrafa Térmica,Esportes,351.78,5,2023,7,11,Tuesday,3,2023-07,1758.90
TXN000223,2024-07-11,4853,Bola De Futebol,Esportes,78.86,4,2024,7,11,Thursday,3,2024-07,315.44
TXN000224,2023-02-14,8651,Data Science,Livros,64.64,3,2023,2,14,Tuesday,1,2023-02,193.92
TXN000225,2023-03-11,2104,Calça Jeans,Roupas,147.30,3,2023,3,11,Saturday,1,2023-03,441.90
TXN000226,2023-05-17,5557,História,Livros,47.94,2,2023,5,17,Wednesday,2,2023-05,95.88
TXN000227,2024-12-02,7930,Talheres,Casa e Cozinha,778.68,1,2024,12,2,Monday,4,2024-12,778.68
TXN000228,2024-04-13,9928,Programação Em Python,Livros,68.07,2,2024,4,13,Saturday,2,2024-04,136.14
TXN000229,2023-02-12,8177,Biografia,Livros,135.43,5,2023,2,12,Sunday,1,2023-02,677.15
TXN000230,2024-04-29,7126,Tablet,Eletrônicos,1280.72,1,2024,4,29,Monday,2,2024-04,1280.72
TXN000231,2024-11-02,1344,Romance,Livros,122.30,4,2024,11,2,Saturday,4,2024-11,489.20
TXN000232,2024-02-14,8956,Cortina,Casa e Cozinha,407.08,4,2024,2,14,Wednesday,1,2024-02,1628.32
TXN000233,2024-12-09,9320,Data Science,Livros,92.88,4,2024,12,9,Monday,4,2024-12,371.52
TXN000234,2023-03-22,1241,Tapete De Yoga,Esportes,308.20,3,2023,3,22,Wednesday,1,2023-03,924.60
TXN000235,2023-04-16,9785,Data Science,Livros,41.36,5,2023,4,16,Sunday,2,2023-04,206.80
TXN000236,2024-03-12,8517,Cortina,Casa e Cozinha,580.74,3,2024,3,12,Tuesday,1,2024-03,1742.22
TXN000237,2024-09-21,4872,Ficção Científica,Livros,52.90,4,2024,9,21,Saturday,3,2024-09,211.60
TXN000238,2024-01-08,5033,Camiseta,Roupas,262.90,5,2024,1,8,Monday,1,2024-01,1314.50
TXN000240,2024-01-06,7939,Bola De Futebol,Esportes,126.84,4,2024,1,6,Saturday,1,2024-01,507.36
TXN000241,2024-01-15,7669,Jogo De Panelas,Casa e Cozinha,752.96,5,2024,1,15,Monday,1,2024-01,3764.80
TXN000242,2024-01-11,6559,Data Science,Livros,143.78,1,2024,1,11,Thursday,1,2024-01,143.78
